UUID,Title,Image,Synopsis,Author,Duration,Guidance,Quote,Cited,Supplemental,Video
7E45E114-26B1-4076-A51C-344FBFF6DC31,The Clampetts Strike Oil,The-Clampetts-Strike-oil.jpg,"A rural Ozark family relocates to Beverly Hills after oil is discovered on their property worth $25 million. After finding oil on the land, the family is surprised when Mr. Brewster (Frank Wilcox) of the OK Oil Company offers to buy it. After much coaxing by Cousin Pearl (Bea Benaderet), Jed (Buddy Ebsen) sells the swamp and moves the family to a mansion in Beverly Hills. Upon their arrival, they are arrested because of a case of mistaken identity but are later returned to the mansion safely.",Paul Henning,21:01,PG,"""You know Granny, that's one of them air fields, sets up in the air.""",Jed,,https://www.youtube.com/watch?v=XQu8TTBmGhA
813DBA56-6598-42D8-AAC7-2B1DA327C83A,Getting Settled,Getting-Settled.jpg,The rough-hewn Clampetts are mistaken for servants as they try to adapt to their new environment.,Paul Henning,21:19,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
2FA664C4-4B52-467C-B374-1A684C34B446,"Meanwhile, Back at the Cabin",Meanwhile-back-at-the-cabin.jpg,"Jane Hathaway finds that making the Clampetts more sophisticated will be harder than expected, while Pearl Bodine tries to get the attention of Mr. Brewster.",Paul Henning,20:42,PG,,,"The series opener shows just how appealing money can be, especially to the Clampetts. Selling thier oil rich swamp for millions leads them to the strange new place of Beverly Hills.",https://www.youtube.com/watch?v=XQu8TTBmGhA
A7310E36-EF8B-46A1-90CE-D0B6EE02A93A,The Clampetts Meet Mrs. Drysdale,The-Clampetts-meet-Mr.-Drysdale.jpg,Mr. Drysdale tries furiously to make the Clampetts more acceptable to his socially-conscious wife.,Paul Henning,20:25,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
EFC059E9-250D-4AA3-84FD-FFFE7D0010D6,Jed Buys Stock,Jed-buys-Stock.jpg,"Upon Mr. Drysdale's advice to buy good stock, Jed purchases cows, pigs, and chickens to raise.",Paul Henning,20:52,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
654125C5-771A-4B3D-BAAA-851E464232E8,Trick or Treat,Trick-or-Treat.jpg,"The homesick Clampetts decide to go door-to-door meeting their Beverly Hills neighbors, not knowing it is Halloween.",Paul Henning,20:44,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
0335CC21-3CE8-4589-BA9D-BAAFE637D3C6,The Servants,The-Servants.jpg,"Yet another Drysdale attempt to ""reform"" the Clampetts goes awry when he tries to loan his servants to the hard-working family.",Paul Henning,21:02,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
A9B15F98-F428-4307-8BF6-F2C7B8A3CDDC,Jethro Goes to School,Jethro-Goes-To-School.jpg,The headmistress (Eleanor Audley) of an exclusive private school for boys is astonished to find the teenaged Jethro enrolled in her fifth grade.,Paul Henning,21:12,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
57BEB5CF-C4D6-4016-807E-9C5F1110BF59,Jed Gets the Misery,Jed-Gets-The-Misery.jpg,Jed pretends to be sick so that granny can get to doctoring and feel more at home. Mr Drysdale and his physician get pulled into the ploy and Granny's mountain medicine is put to the test by a city doctor.,Paul Henning & Mark Tuttle,21:15,PG,"""I opened the window, but, but I didn't breathe. Oh, I swear it! I held my breath, didn't I Mr. Clampett?""",Drysdale,,https://www.youtube.com/watch?v=XQu8TTBmGhA
396A43C4-C574-4196-BF04-BA48B248C6EB,Hair-Raising Holiday,Hair-Raising-Holiday.jpg,Jed pretends to be sick so that granny can get to doctoring and feel more at home. Mr Drysdale and his physician get pulled into the ploy and Granny's mountain medicine is put to the test by a city doctor.,Paul Henning & Mark Tuttle,21:12,PG,,,"Jed cheers up Grannie by pretending to be sick so she can doctor him. Soon Drysdale and his doctor, Clyburn, are subject to her methods as well.",https://www.youtube.com/watch?v=XQu8TTBmGhA
03A3D6F6-EFAB-44F9-A4AE-09562EDE3400,Elly Starts to School,Elly-Starts-to-School.jpg,Miss Hathaway's worry that Elly May won't fit in at a private school proves to be premature.,Paul Henning & Mark Tuttle,21:14,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
AF75E972-959D-48BB-944C-36727409E17D,The Clampett Look,The-Clampett-Look.jpg,The Clampetts unwittingly become the pioneers of a fashion style that everybody who's everybody is wearing.,Paul Henning & Mark Tuttle,21:22,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
EC512DF6-F694-4598-8468-77DD78B77CF6,Jethro's First Love,Jethro's-First-Love.jpg,"Jethro develops feelings for an exotic dancer named Chickadee (Barbara Nichols), and brings her home to meet the folks.",Paul Henning & Mark Tuttle,20:47,PG,,,,https://www.youtube.com/watch?v=XQu8TTBmGhA
