Source Title,Language,Title,Description,SKU,Interests,UUID,Created,Persona
Artist Lofts in New York City,es,Lofts artista en Nueva York,"The Mercer Hotel, ubicado en la esquina de Mercer y Prince Street, en el Soho, de Nueva York, es el primer hotel que ofrece un sabor de 'loft', una firma urbano que es completamente original a Nueva York. Situado en la esquina de Mercer y Prince Street, en el Soho, de Nueva York, el de seis pisos, 84,000 pies cuadrados de edificio de ladrillo ha sido citado por la Comisión de Preservación de Monumentos históricos de la ciudad de Nueva York como un ejemplo de románico Revival. Diseñador parisino Christian Liaigre aseguró que todos los muebles se mantuvieron original y exclusiva para el hotel. Liaigre creado un interior modernista con énfasis en proporciones armonizados y las paletas de colores sutiles. Disfrute de su propio loft de artistas durante su estancia en un gran precio gracias a World Travel Nexus.",NYC-Vac4,"USA, Foodie, Culture, Bar, Dining",f2a12170-9de3-11e3-a5e2-0800200c9a66,1393310216,Arts and Entertainment
Immerse Yourself In the Culture of India,es,Sumérjase en la cultura de la India,"Encuéntrate a ti mismo hasta las rodillas en la cultura durante este tour privado de 4 días de la India Triángulo de Oro. De viajes Delhi por aire del vehículo privado a Agra. El magnífico Taj Mahal le espera - una de las siete maravillas del mundo moderno. También visitará el Fuerte de Agra y otros monumentos del Imperio Mughal incluyendo Fatehpur Sikri. Más tarde, en la ""ciudad rosa"" de Jaipur, podrás subir fuertes de montaña y tomar el sol en la gloria de los palacios de la capital de Rajasthan a medida que explora pasado real de la India. Usted reciba un servicio experto de su guía personal en este viaje de descubrimiento!",TAJ-Vac6,"India, Off The Beaten Path, Culture",aeb6f830-9eb6-11e3-a5e2-0800200c9a66,1393310216,Travel Agent
All Trails Lead to Portland,es,Todos los senderos conducen a Portland,"Vamos a reservar su estancia en la ""ciudad más verde de Estados Unidos"" a menudo concedido y ""la mayoría de ciudades verdes"" designaciones. Portland es el hogar de una gran variedad de artistas y organizaciones de arte. La ciudad alberga una serie de festivales durante todo el año en la celebración de la cerveza y de la cerveza, incluyendo el Festival de Cerveceros de Oregon - el mayor festival de cerveza del arte al aire libre en América del Norte. La ciudad ha sido reconocida por los Premios de Food Network como su ""delicioso Destino del Año: Una ciudad creciente con una escena de la comida de rápido crecimiento"", y The Washington Post, que llama Portland ""uno de los mejores lugares del país para cenar. ""El hogar de la libertad de expresión, los cargos contra un ciclista nudista en noviembre de 2008 fueron lanzadas sobre la base de que anual Ciclonudista Mundial la ciudad fue ""una tradición bien establecida"" en Portland.",PORT-Vac5,"USA, Recreation, Family Friendly, Beer, Foodie",b7fdb2f0-9de7-11e3-a5e2-0800200c9a66,1393306336,Outdoors
Travel to London for Less,es,Viaja a Londres por menos,"Dondequiera que usted hace negocios, los viajes pueden ser caros. Y cuando se viaja a Londres el coste puede ser prohibitivo. Viajes Nexus puede proporcionarle soluciones de viajes empaquetados para asegurar que se puede trabajar, descansar y recargar tanto asequible y placentera. Se inicia en el aeropuerto, donde nuestro servicio de chófer le recogerá y batir a un hotel tranquilo, bien situado, pero a un precio razonable. Allí podrá disfrutar de los beneficios de wifi gratuito, una selección de bares y restaurantes y servicio de habitaciones las 24 horas para que no te puedes morir de hambre mientras culminar la presentación esencial. Si usted nos puede proporcionar su itinerario antes de tiempo, también podemos ofrecerle pases de varios días y horarios personalizados para el transporte público - o si lo prefiere, un servicio de limusina. ",LOND-Pro1,"Business, Europe, UK, Free Wifi, Dining, Bar, Room Service",b79c4dab-e629-45d3-802a-21675eb1bea7,1381313409,Business
Tropical Paradise at Reasonable Rates,es,Paraíso tropical en las tarifas razonables,"Tanto si eres un buceador, escalador o un amante de la naturaleza, Belice tiene mucho que ofrecer a un precio increíble. Y para los turistas del continente EE.UU., los tiempos de viaje son sorprendentemente corto, de dos a cinco horas en promedio. Así que ¿por qué no ahorrar unos cuantos dólares por adelantado y disfrutar de fascinantes bosques Maya-embrujadas del país, y, ciudades históricas atmosféricos. Los amantes del agua también pueden visitar el emocionante Belice Barrera de Coral, un sitio de la UNESCO que destaca notable biodiversidad del país. A cientos de kilómetros de playas de arena y amigos hoteles, de gestión familiar, lo convierten en un lugar ideal para unas vacaciones de playa tradicional con un toque.",BELIZ-Vac1,"Tropical, Off The Beaten Path, Resort, Recreation, Bar",56eef71e-be09-43e8-9ce3-27690222a9b1,1378062061,Getaway
Explore Egypt by Air,es,Egipto por Air,"¿Le gustaría ver a Egipto como ningún otro? Entonces considere una gira globo volando alto sobre Luxor. Vamos a fijar para arriba en un gran hotel del centro. Temprano en la mañana, nuestros guías te recogerán y lo llevaremos a Cisjordania para disfrutar de paseos en globo de aire. Relájese mientras el equipo pone todo arriba y luego comenzar su viaje en globo en el cielo de la mayor museo al aire libre en el mundo. Este viaje mágico dura 45 minutos y es el armario se puede llegar a un paseo en una alfombra mágica. Una vez que haya aterrizado, podrás tener una nueva perspectiva de Luxor y es probable que tenga un par de lugares nuevos en su lista de cosas para visitar! Este viaje incluye pasaje aéreo, alojamiento y un viaje en globo para dos personas.",LUX-Vac1,"Vacation, Tropical, Adventure, Culture",a3924465-ef29-482c-b51b-8060f2135fd0,1373942013,Travel Agent
Make This Your New Office,es,Haga esta su nueva Oficina... Hazlo ahora!,"Los viajes de negocios a Australia nunca ha sido más atractivo. Hay vuelos diarios desde varios de los principales centros de Estados Unidos, y un nivel nunca antes imaginadas de la comodidad en la clase de negocios - incluyendo menús a la carta y los asientos de cama plana. Sydney combina el estilo y multicuturalism de Londres, con un clima tropical perfecto, y quién diría que no a una oficina que tiene este aspecto? Solicitar un gran café de servicio de habitación, engancharse con el wifi gratis, y ya está. Antes de saber que usted estará de pie y funcionando en su nueva oficina soleada, al aire libre.",SYDN-Pro2,"Business, Tropical, Free Wifi, Room Service",623748a1-485d-44f7-a9a7-20b999adbf1d,1370066498,Business
Stunning Views in Sydney,es,Vistas impresionantes en Sydney,"Todos sabemos de Sydney: la Casa de la Ópera, Bondi Beach y loros en el parque. Pero hay más: la ciudad más grande de Australia ofrece impresionantes vistas y experiencias emocionantes, si usted está buscando para la cocina, la cultura, actividades deportivas o de naturaleza. ¿Dónde más puede ver canguros en la mañana y ver un partido de cricket en la tarde, disfrutar de un paseo al atardecer por la playa y ver una obra de teatro pionera en la noche? O disfrutar de una fascinante fusión de estilos de cocina que combinan lo mejor de la costa del Pacífico y cusines asiáticos con influencias libaneses e italianos? Las vistas son impresionantes, pero sin duda lo que se ve sólo podría convertir sus expectativas al revés.",SYDN-Vac2,"Tropical, Spa, Resort, Recreation, Adventure",5f9a8278-3461-4303-abb9-65f4a7a22d72,1367072858,Getaway
Artist Lofts in New York City,de,Künstler Lofts in New York City,"The Mercer Hotel, an der Ecke von Mercer und Prince Street in SoHo, New York City, ist das erste Hotel, um einen Eindruck von ""Loft Living"", eine städtische Signatur, die komplett original nach New York anbieten. Das Hotel liegt an der Ecke von Mercer und Prince Street in SoHo, New York City, das sechsstöckige, 84.000 Quadratmeter großen Backsteingebäude wurde von der New York City Landmarks Preservation Commission als ein Beispiel für die romanische Wiedergeburt zitiert. Pariser Designer Christian Liaigre sichergestellt, dass alle Möbel wurden originelle und exklusive dem Hotel gehalten. Liaigre erstellt eine modernistische Interieur mit einem Schwerpunkt auf harmonisierte Proportionen und subtile Farbpaletten. Genießen Sie Ihr eigenes Loft Künstler während Ihres Aufenthalts mit einer hohen Geschwindigkeit dank World Travel Nexus.",NYC-Vac4,"USA, Foodie, Culture, Bar, Dining",a3b681a0-9de7-11e3-a5e2-0800200c9a66,1393306336,Arts and Entertainment
Immerse Yourself In the Culture of India,de,Tauchen Sie in die Kultur von Indien,"Finden Sie sich knietief in der Kultur während dieser 4-Tages-private Tour von Indiens Goldenes Dreieck. Von Delhi Reise durch private Luftfahrzeug nach Agra. Die prächtige Taj Mahal erwartet Sie - eine der sieben Wunder der modernen Welt. Sie besuchen auch Agra Fort und andere Denkmäler der Moghul-Reiches einschließlich Fatehpur Sikri. Später, in der ""Pink City"" Jaipur, du Forts Hügel klettern und sonnen sich im Glanz der Paläste in Rajasthan Hauptstadt Indiens, wie Sie königliche Vergangenheit zu erkunden. Sie kompetenten Service von Ihrem persönlichen Guide auf dieser Entdeckungsreise erhalten!",TAJ-Vac6,"India, Off The Beaten Path, Culture",9c444350-9eb7-11e3-a5e2-0800200c9a66,1393310216,Travel Agent
