Title,Body,Image,Video,Interests,UUID,Created,Persona
Bike the USA,"<p>In order to make this list, you'll need segregated bike lanes, municipal bike racks and bike boulevards - not to mention an abundance of quality bike shops.</p><p>Portland, OR - With designated bike-only areas, bike specific traffic signals and a program that gives away free bike lights, its easy to see why even non-seasoned cyclists feel at home in Portland.</p><p>Minneapolis, MN - You might think the cold climate would keep this city down, but Minneapolis is home to 120 miles of bike lanes.</p><p>Boulder, CO - Home to many top pro cyclists, the thin Colorado air is the perfect place to train. Combine that with 120 miles of trails and you've found a winning combination.</p><p>San Francisco, CA - Don't let the fog get in your way, SF has focused on bike-friendly laws since the early 70s. This city has the highest percentage of bike commuters in the USA.</p><p>Chicago, IL - The city of broad shoulders has climbed our list in recent years by providing one of the most popular bike sharing programs in the country. Chicago is also home to over 110 miles of bike lanes, many of which are protected from traffic.</p>",bike.jpg,http://www.youtube.com/watch?v=6LgD9A0IwFI,"USA, Recreation, Family Friendly",31cda008-ba18-434c-ab90-3c82b42f3ee4,1393303272,Outdoors
36 Hours in Brooklyn,"<p>Start with a waterfront stroll along the cobbleston streets beneath the Manhattan bridge.</p><p>Next head inland toward Atlantic Avenue to do a bit of light shopping at one or many of the borough's shops.</p><p>There are plenty of dinner options and bars abound. It all depends on your specific taste.</p><p>The next morning, check out some of the local brunch fare.</p>Now grab a shared bike and head to the Brooklyn Botanic Garden to soak in some horticulture.</p><p>If you're allergic to pollen, continue biking into Williamsburg, as long as you aren't also allergic to the tragically hip...</p><p>Check out a bookstore, gallery or coffee shop and rub elbows with artists, makers and eccentrics alike.</p><p>Stick around for some music at Union Pool or Brooklyn Bowl while you're in town.</p><p>Before you leave, remember that New York is the pizza captial of the world. Might we suggest L&B Spumoni Gardens? This Bensonhurst landmark has been serving up slices and ice since 1939.</p>",brooklyn.jpg,http://www.youtube.com/watch?v=7ia5tKjVhEw,"USA, Foodie, Culture, Off The Beaten Path",db43dfc4-341f-4a57-a369-087ea2c799e9,1392360300,Arts and Entertainment
Taxi Cabs in New Dehli,"<p>Even the most grisled globetrotter can attest: taking a cab in New Delhi can be confusing.</p><p>Rule 1: This isn't NYC!  Its impossible to hail a cab on the street, but you're better off finding a queue of cabs near tourist attrations and other highly trafficed areas.</p><p>Rule 2: Communicate with your driver - most speak English. Sometimes the meter may not be visible. Make sure you're aware of the rate before you agree to take a ride.</p><p>Rule 3:  Book early and often! There is usually a run on cabs during peak travel hours but plenty of call ahead services are available.</p><p>Our final tip: keep your hotel number handy. When in doubt, always go to the nearest hotel and contact the concierge or manager for help. Follow these simple tips and you'll be a New Delhi taxi magician.</p>",taxi.jpg,http://www.youtube.com/watch?v=BZDxVUa47D8,"India, Off The Beaten Path, Culture",596a2be0-adc0-4260-abcd-017f73688c61,1391000341,Travel Agent
Get Cultured. Tour London.,"<p>Everyone knows London is the center of it all: arts, commerce, education, fashion and transportation. What you may not realize is 300 languages are spoken amongst London's 8 million residents. Multicultural = London.</p><p>If you make it there in August, catch the Notting Hill Carnival. Stroll the Portobello Road market, get some street food. If you don't chomp down on some churros, you're just being silly.</p><p>Do book a double-decker bus tour. Do watch a West End musical. Do visit Westminster Abbey. Definitely grab a bicycle and get an up-close look at the city. Please gorge yourself on the many delectable restaurants London has to offer. See Tower of London, Big Ben, Buckingham Palace. But do not forget to pack your cash. London ain't cheap.</p>",london.jpg,http://www.youtube.com/watch?v=RKNBIitoXMQ,"UK, Culture, Business, Europe",aeaee9d9-441e-4d70-bb38-7dbfafc2beec,1388394300,Business
The Imposing Skylines of New York,"<p>The building form most closely associated with New York City is the skyscraper, which has controversially shifted many commercial and residential districts from low-rise to high-rise. Surrounded mostly by water, the city has amassed one of the largest and most varied collection of skyscrapers in the world. New York has architecturally significant buildings in a wide range of styles spanning distinct historical and cultural periods. These include the Woolworth Building (1913), an early Gothic revival skyscraper with large-scale gothic architectural detail. The 1916 Zoning Resolution required setback in new buildings, and restricted towers to a percentage of the lot size, to allow sunlight to reach the streets below. The Art Deco design of the Chrysler Building (1930) and Empire State Building (1931), with their tapered tops and steel spires, reflected the zoning requirements.</p><p>The Downtown skyline comprises the third largest central business district in the U.S. (after Midtown and Chicago's Loop), and was once characterized by the presence of the Twin Towers of the World Trade Center. Today it is undergoing the rapid reconstruction of Lower Manhattan, and will include the new One World Trade Center Freedom Tower, which will rise to a height of 1776 ft. when completed in 2010.The Downtown skyline will also be getting notable additions soon from such architects as Santiago Calatrava and Frank Gehry. Also, Goldman Sachs is building a 225 meter (750 feet) tall, 43 floor building across the street from the World Trade Center site.</p><p>New York City has a long history of tall buildings. It has been home to 10 buildings that have held the world's tallest fully inhabitable building title at some point in history, although half have since been demolished. The first building to bring the world's tallest title to New York was the New York World Building, in 1890. Later, New York City was home to the world's tallest building for 75 continuous years, starting with the Park Row Building in 1899 and ending with 1 World Trade Center upon completion of the Sears Tower in 1974.</p>",nyc-skyline.jpg,https://www.youtube.com/watch?v=tPELWmTc2E8,"USA, Parks, Tourism",80555bf0-9eaf-11e3-a5e2-0800200c9a66,1386222200,Travel Agent
Big Air at Big Sky,"<p>Light powdery snow and consistently wide runs. Where can you experience Montana's highest vertical drop without sacrificing your high standards for a vacation destination? Situated along the Gallatin River, surrounded by the Gallatin National Forest and 11,166-foot Lone Mountain, Big Sky, Montana has 40 miles of cross country ski trails at Lone Mountain Ranch. But don't forget to check out its four-star rated hotels Moonlight Mountain Homes and Rainbow Ranch Lodge.</p><p>Known as the gateway to Yellowstone National Park, Big Sky is just 50 miles from Yellowstone attractions like Old Faithful, The Yellowstone River, Lamar Valley, Norris Geyser Basin and 110 shoreline miles of alpine lake.</p><p>Weekend summer trips to Big Sky from Memorial Day to Labor Day mean fishing, golfing, hiking, whitewater rafting and camping.</p>",bigsky.jpg,http://www.youtube.com/watch?v=WvXJFGq__R8,"Parks, Recreation, Resort, Vacation",bd132a52-193b-4fca-97d9-6994aba3c735,1384128000,Outdoors
The Night Side of Mumbai,"<p>Forget New York. Mumbai isn't getting any sleep either.</p><p>Known as the ""City of Dreams"" for those with the drive to succeed, it makes sense that the go-getters play hard too. For pre-clubbing dinner and libations, visit Janata or Ambience followed by a trip along Carter Road Promenade to sample the best night music Mumbai has to offer. Be sure to stop at the Blue Frog and Bonobo. Honorable mentions go to venues Hype, Ren and Tryst. Bar food options cover sushi to batter-fried chicken.</p><p>Don't miss The Four Seasons' rooftop bar Aer where you can rub elbows with Bollywood elite while taking in a view of the Mahalaxmi racecourse, Haji Ali mosque and the Bandra-Worli Sealink.</p><p>Hungry Mumbai partiers are greeted with a feast of post-clubbing fare including Indian Hotel, Taj Ice Cream and  Delhi Zaika. For Wi-fi access, head to China House.</p>",mumbai.jpg,http://www.youtube.com/watch?v=PObLmiG68N0,"Nightlife, India",a3940128-8ca4-42a5-8cf6-79cc2ddfba80,1383194684,Getaway
Munich. There's Beer. But there's more.,"<p>Stunning architecture. Some of Germany's best museums. Oktoberfest, y'all! All of this could be yours during a trip to Munich.</p><p>Oktoberfest, the two-week celebration of beer that has been going on since 1810, kicks off with the Costume and Rifleman's Parade. Look forward to an outdoor concert including all Oktoberfest bands the second Sunday of the event. Gnaw on a pretzel and pitch in by drinking a pint or two of the nearly 7 million liters of beer typically swilled each year during the festival.<p>In Munich's center is the city's largest marketplace, Viktualienmarkt. Once a farmer's market, Viktualienmarkt now attracts the attention of gourmets and foodies. Check local schedules for folk events including summer festival, dance of the market women and gardeners' day.</p>",munich.jpg,https://www.youtube.com/watch?v=US3poyLLwI8,"Germany, Beer, Museums, Culture, Europe, Foodie",2bf05770-258b-407a-b578-08e6079bf088,1381313409,Family
Doha: Because Everyone Else Goes To Dubai,"<p>You can beach it, shop it, golf it or ride a camel through it but chances are you'll have a more original story from Doha than your buddy who went to Dubai. Visit the unparalleled Museum of Islamic Art, which was once again recognized by TripAdvisor as being rated a consistent favorite among travelers for 2013.</p><p>Know that your trip will be an actual experience, not a race with your fellow tourists to the next attraction. Doha is an untouched piece of the Middle East. Take a desert safari. Smoke some fruit flavored tobacco (sheesha). If you yearn to be pampered, there's still Four Seasons, Ritz-Carlton, Imperial Suites, Grand Hyatt and Sheraton. No one's judging.</p><p>Doha is still growing. Come enjoy it before we develop it to death.</p>",doha.jpg,http://www.youtube.com/watch?v=zLhypQOXZDc,"Beach, Golf, Museums, Art, Off The Beaten Path",071848b2-0653-4ea4-b314-853ba3374ce9,1378062061,Getaway
Chicago: Beyond the Bean,"<p>Sure, you can visit Chicago and take your photo next to the famous Cloud Gate a.k.a. ""the bean."" But what's next in your agenda?</p><p>First, you'll be visiting the Sears Tower Skydeck. It's 1,343 feet tall, 103 floors up, so bring some reading material for the elevator ride up. If you've got the coin, you can rent the 99th floor, but that's entirely up to you. After that, head to The Art Institute of Chicago and learn something why don't you. Investigate its more than 300,000 pieces of art. Catch a lecture. It'll do you good.</p><p>You don't have to visit all 460 stores, but you probably want to at least make an appearance on The Magnificent Mile to see John Hancock Center, Trump International Hotel and Tower, Wrigley Building and Tribune Tower.</p><p>Carve out some time to see dinosaur skeletons at Field Museum of Natural History. Then of course you'll of course be visiting Navy Pier, Chicagoland's playground on Lake Michigan complete with rides, segway tours and the Smith Museum of Stained Glass Windows.</p>",chicago.jpg,http://www.youtube.com/watch?v=BHBKyFRvLSE,"Midwest, Tourism, Art, Family Friendly",06838726-1a70-4942-aa9a-d1f264335655,1373942013,Family
