Source Title,Language,Title,Body,Image,Video,Interests,UUID,Created
Bike the USA,es,Ciclo en los Estados Unidos,"<p>Para hacer esta lista , tendrá carriles bici segregados , bastidores de bicicletas municipal y bulevares de la bici - por no hablar de una abundancia de tiendas de bicicletas de calidad</p><p>Portland , OR - Con designado por única bicicleta áreas, las señales de tráfico específicas para bicicletas y un programa que regala luces de bicicleta gratis, es fácil ver por qué incluso los ciclistas no experimentados se sienten como en casa en Portland.</p><p>Minneapolis, MN - Se podría pensar que el clima frío haría mantener esta ciudad abajo, pero Minneapolis es el hogar de 120 millas de carriles para bicicletas.</p><p>Boulder , CO - El hogar de muchos de los mejores ciclistas profesionales, el aire enrarecido de Colorado es el lugar perfecto para entrenar. Combine eso con 120 kilómetros de senderos y que ha encontrado una combinación ganadora.</p><p>San Francisco , CA - No dejes que la niebla en su camino , SF se ha centrado en las leyes para ir en bicicleta desde la década 70. Esta ciudad cuenta con el mayor porcentaje de pasajeros en bicicleta en los EE.UU.</p><p>Chicago, IL - La ciudad de hombros amplios ha subido nuestra lista en los últimos años , proporcionando uno de los programas de intercambio de bicicletas más populares en el país. Chicago es también el hogar de más de 110 kilómetros de carril bici , muchos de los cuales están protegidos por el tráfico.</p>",bike.jpg,http://www.youtube.com/watch?v=6LgD9A0IwFI,"USA, Recreation, Family Friendly",424dca46-0cb4-4811-9e29-3b7c1d86d4ce,1393303272
36 Hours in Brooklyn,es,36 horas en Brooklyn,"<p> Comience con un paseo frente al mar a lo largo de las calles ""cobblestone"" debajo del puente de Manhattan.</p><p>A continuación la cabeza hacia el interior hacia la avenida Atlantic para hacer un poco de compras de la luz en una o varias de las tiendas de la ciudad.</p><p>Hay un montón de opciones para la cena, y abundan los bares. Todo depende de su gusto específico.</p><p>A la mañana siguiente, echa un vistazo a algunos de los platos almuerzo local.</p><p>Ahora toma una bicicleta común y la cabeza al Jardín Botánico de Brooklyn en remojo en un poco de horticultura.</p><p>Si usted es alérgico al polen, continúe en bicicleta en Williamsburg, siempre y cuando usted no es también alérgica a los hipsters...</p><p>Echa un vistazo a una librería, galería o cafetería y codearse con artistas, políticos y excéntricos por igual.</p><p>Quedarse por un poco de música en Union Pool o Brooklyn Tazón mientras estás en la ciudad.</p><p>Antes de salir, recuerde que Nueva York es el captial de pizza del mundo. Podemos sugerir L & B Spumoni Gardens? Este hito Bensonhurst ha estado sirviendo a rodajas y el hielo desde 1939.</p>",brooklyn.jpg,http://www.youtube.com/watch?v=7ia5tKjVhEw,"USA, Foodie, Culture, Off The Beaten Path",5a8c3b3a-cade-4237-9fca-a09698c5c45c,1392360300
Taxi Cabs in New Dehli,es,Los taxis en Nueva Dehli,"<p>Incluso el trotamundos más overos puede dar fe: tomar un taxi en Nueva Delhi puede ser confuso</p><p>Regla 1: Esto no es Nueva York! Es imposible parar un taxi en la calle, pero usted es mejor encontrar una cola de taxis cerca attrations turísticas y otras áreas altamente trafficed.</p><p>Regla 2: Comuníquese con su conductor - la mayoría habla Inglés. A veces, el medidor no esté visible. Asegúrese de que usted es consciente de la tasa antes de que usted se compromete a dar un paseo.</p><p>Regla 3: Reserve con anticipación y con frecuencia! Por lo general, una corrida de taxis durante las horas pico de viaje, pero un montón de servicios de llamadas por delante están disponibles</p><p>Nuestro último consejo:. Mantener su número del hotel a mano. En caso de duda, siempre ir al hotel más cercano y póngase en contacto con el conserje o encargado para la ayuda. Siga estos sencillos consejos y usted será un taxi mago Nueva Delhi.</p>",taxi.jpg,http://www.youtube.com/watch?v=BZDxVUa47D8,"India, Off The Beaten Path, Culture",4c62c84d-38ef-43dc-b05d-430c0205664a,1391000341
Get Cultured. Tour London.,es,Obtenga cultivadas. Tour de Londres.,"<p>Todo el mundo sabe que Londres es el centro de todo: las artes, el comercio, la educación, la moda y el transporte. Lo que no saben es 300 idiomas se hablan entre los 8 millones de residentes de Londres. Multicultural = Londres.</p>Si usted lo hace allí en agosto, coger el Carnaval de Notting Hill. Pasee por el mercado de Portobello Road, conseguir un poco de comida de la calle. Si no lo hace chomp abajo en algunos churros, estás haciendo el tonto.</p>No reserve un tour en autobús de dos pisos. No mirar un musical West End. No deje de visitar la Abadía de Westminster. Definitivamente agarrar una bicicleta y conseguir una mirada de cerca a la ciudad. Por favor atiborra de los muchos restaurantes exquisitos que Londres tiene para ofrecer. Ver Torre de Londres, el Big Ben, el Palacio de Buckingham. Pero no te olvides de llevar tu dinero. Londres no es barato.</p>",london.jpg,http://www.youtube.com/watch?v=RKNBIitoXMQ,"UK, Culture, Business, Europe",edd3d610-0bf5-4b94-8578-83cf171f16cd,1388394300
The Imposing Skylines of New York,es,Los perfiles de edificios imponentes de Nueva York,"<p>La forma del edificio que más se asocia con la ciudad de Nueva York es el rascacielos, que se ha desplazado polémico muchos distritos comerciales y residenciales de baja altura a gran altura. Rodeado en su mayoría por agua, la ciudad ha amasado una de las mayores y más variada colección de rascacielos en el mundo. Nueva York tiene edificios arquitectónicamente significativos en una amplia gama de estilos que abarcan períodos históricos y culturales distintos. Estos incluyen el edificio Woolworth (1913 ), uno de los primeros rascacielos de estilo neogótico con gran escala gótico detalle arquitectónico . La Resolución de Zonificación 1916 requiere retroceso en los nuevos edificios, y restringió torres a un porcentaje del tamaño del lote, para permitir que la luz solar llegue a las calles de abajo . El diseño Art Deco del edificio Chrysler (1930 ) y el Empire State Building (1931 ), con sus cimas afiladas y agujas de acero, reflejó los requisitos de zonificación .</p><p> El horizonte céntrico comprende el tercer distrito más grande central de negocios en los EE.UU. (después Midtown y Loop de Chicago), y una vez se caracterizó por la presencia de las torres gemelas del World Trade Center. Hoy en día está experimentando una rápida reconstrucción del Bajo Manhattan, y contará con el nuevo World Trade Center Torre de la Libertad Uno, que se elevará a una altura de 1,776 pies cuando esté terminado en el horizonte de 2010.El centro también será conseguir notables adiciones pronto de tales arquitectos como Santiago Calatrava y Frank Gehry . Además, Goldman Sachs es la construcción de un edificio de 43 piso 225 metros ( 750 pies) de altura en la calle de la zona del World Trade Center.</p><p> Ciudad de Nueva York tiene una larga historia de los edificios altos. Ha sido el hogar de 10 edificios que han ocupado más alto título de edificio totalmente habitable del mundo en algún momento de la historia, aunque la mitad ya han sido demolidas . El primer edificio de traer el título más alto del mundo a Nueva York fue el edificio del New York World, en 1890. Más tarde, la ciudad de Nueva York era el hogar de edificio más alto del mundo durante 75 años consecutivos, a partir del Park Row Building en 1899 y terminando con 1 World Trade Center tras la finalización de la Torre Sears en 1974.</p><p>",nyc-skyline.jpg,https://www.youtube.com/watch?v=tPELWmTc2E8,"USA, Parks, Tourism",9d68d4e0-9eb1-11e3-a5e2-0800200c9a66,1386222200
Big Air at Big Sky,es,Air grande en Big Sky,"<p>Luz nieve en polvo y se ejecuta constantemente de ancho. ¿Dónde se puede experimentar mayor caída vertical de Montana sin sacrificar sus mayores niveles para un destino de vacaciones? Situado junto al río Gallatin, rodeado por el bosque nacional de Gallatin y 11.166 pies Lone Mountain, Big Sky, Montana tiene 40 kilómetros de pistas de esquí de fondo en Lone Mountain Ranch. Pero no se olvide de revisar sus cuatro estrellas hoteles por Moonlight Mountain Homes y Rainbow Ranch Lodge.</p>Conocida como la puerta de entrada al Parque Nacional de Yellowstone, Big Sky está a sólo 50 millas de las atracciones de Yellowstone como el Old Faithful , El río Yellowstone, Lamar Valley, Norris Geyser Basin y 110 millas de la costa del lago alpino.</p>Fin de semana viajes de verano a Big Sky desde Memorial Day hasta el Día del Trabajo significan pesca, golf, senderismo, rafting y acampar.</p>",bigsky.jpg,http://www.youtube.com/watch?v=WvXJFGq__R8,"Parks, Recreation, Resort, Vacation",223ada94-3b20-4659-8fc9-a4e8cd6648a0,1384128000
The Night Side of Mumbai,es,El lado oscuro de Mumbai,"<p>Olvide Nueva York. Mumbai no se ha hecho el sueño tampoco.</p>Conocido como el ""City of Dreams?"" Para los que tienen el deseo de triunfar, tiene sentido que el go -compradores jugar duro también. Para la cena, este tipo de locales y libaciones, visite Janata o Ambience seguido por un viaje a lo largo de Carter Road Promenade de probar la mejor música de la noche Mumbai tiene para ofrecer. Asegúrese de hacer una parada en el azul de la rana y el bonobo. Menciones de Honor ir a los lugares de bombo, Ren y Tryst opciones de comida. Bar cubren sushi de pollo rebozados.</p>No te pierdas la azotea Aer bar del Four Seasons donde podrá codearse con la élite de Bollywood, teniendo en vista de la Mahalaxmi Racecourse, Haji Ali mezquita y el Bandra-Worli Sealink.</p>Hungry fiesteros Mumbai son recibidos con un festín de comida post-discotecas incluyendo Indian Hotel, Taj Ice Cream y Delhi Zaika. para Wi- Conexión Wi-Fi, la cabeza a China House.</p>",mumbai.jpg,http://www.youtube.com/watch?v=PObLmiG68N0,"Nightlife, India",d5f0dfb3-9283-4ef8-9031-b2c2507c1136,1383194684
Munich. There's Beer. But there's more.,es,Munich. Hay cerveza. Pero hay más.,"<p>Arquitectura única. Algunos de los mejores museos de Alemania. Oktoberfest, y'all! Todo esto puede ser tuyo durante un viaje a Munich.</p>Oktoberfest, la celebración de dos semanas de la cerveza que ha sido pasando desde 1810, se inicia con el vestuario y el desfile de fusilero. Esperamos contar con un concierto al aire libre con todas las bandas de Oktoberfest el segundo Domingo del evento. Roer en un pretzel y el tono en por beber una pinta o dos de los casi 7 millones de litros de cerveza normalmente circularse cada año durante el festival.<p>En el centro de Múnich es el mercado más grande de la ciudad, Viktualienmarkt. Una vez que el mercado de un granjero, Viktualienmarkt ahora atrae la atención de los gourmets y sibaritas. Compruebe los horarios locales para eventos populares, incluyendo el festival de verano, danza de las mujeres del mercado y día jardineros.</p>",munich.jpg,https://www.youtube.com/watch?v=US3poyLLwI8,"Germany, Beer, Museums, Culture, Europe, Foodie",eb39a2a5-dd1f-4712-a043-5c20b671666d,1381313409
Doha: Because Everyone Else Goes To Dubai,es,Doha: porque todo el mundo va a Dubai,"<p>Puede playa que, hace compras es, golf o montar en camello a través de él, pero lo más probable es que tendrá una historia más original desde Doha a su amigo que fue a Dubai. Visite el Museo de Arte Islámico sin precedentes, que fue reconocida una vez más por TripAdvisor que está clasificado como un favorito constante entre los viajeros para 2013.</p>Saber que su viaje sea una experiencia real, no una carrera con sus compañeros de turistas a la siguiente atracción. Doha es una pieza intacta de Oriente Medio. Tome un safari por el desierto. Fumar un poco de fruta con sabor a tabaco (shisha). Si usted anhela para ser mimado, aún Four Seasons, Ritz-Carlton, Imperial Suites, Grand Hyatt y Sheraton. Nadie está juzgando.</p>Doha sigue creciendo. Venga a disfrutar de ella antes de desarrollar a la muerte.</p>",doha.jpg,http://www.youtube.com/watch?v=zLhypQOXZDc,"Beach, Golf, Museums, Art, Off The Beaten Path",ec09ebd3-c94e-41e2-b373-25f9d1248c09,1378062061
Welcome to Chicago. Here's what you'll be doing (sleep not included),es,Bienvenido a Chicago. Esto es lo que va a hacer (dormir no incluido),"<p>Primer lugar, que va a visitar la Sears Tower Skydeck. Es 1.343 metros de altura, 103 pisos de altura, así que traiga un poco de material de lectura para el viaje en ascensor. Si tienes el dinero, puedes alquilar el piso 99 , pero eso es totalmente de usted. Después de eso, a la cabeza del Instituto de Arte de Chicago y aprender algo por qué no lo hace usted. Investigue sus más de 300.000 piezas de arte. Coja una conferencia. Te va a hacer bien.</p><p> Usted no tiene que visitar todas las tiendas de 460, pero es probable que desee por lo menos hacer una aparición en The Magnificent Mile ver a John Hancock Center, Trump International Hotel and Tower, Wrigley Building y Tribune Tower.</p><p> sacar algo de tiempo para ver esqueletos de dinosaurios en el Museo Field de Historia Natural. Luego, por supuesto, usted, por supuesto, a visitar Navy Pier, parque de Chicago en el Lago Michigan completar con paseos, excursiones en segway y el Museo Smith de Vidrieras Ventanas.</p>",chicago.jpg,http://www.youtube.com/watch?v=BHBKyFRvLSE,"Midwest, Tourism, Art, Family Friendly",3790d35d-fa0b-4a45-bbd2-71bfdfc7c99c,1373942013
